iteration,beta,loss_a,loss_b,loss_m,loss,loss_mul,L2-error,objective,objective-error,constraint-error,runtime
15300,1000.0,1.5870667,2.3698947e-06,0.0,1.5882516,1.291787,0.10045654,1.588816,0.011471629,0.001291787,91.1560959815979
15400,1000.0,1.5867026,2.0815953e-06,0.0,1.5877434,2.2045007,0.100659974,1.58721,0.01044929,0.0022045006,91.91616106033325
15500,1000.0,1.5877576,2.9655928e-06,0.0,1.5892404,1.0170308,0.09879835,1.5874882,0.010626316,0.0010170308,92.5961263179779
15600,1000.0,1.5873377,1.976847e-06,0.0,1.5883261,3.9332983,0.09661276,1.5880594,0.010990024,0.0039332984,93.29587531089783
15700,1000.0,1.5884736,1.8596522e-05,0.0,1.5977718,4.86625,0.10286799,1.5865492,0.0100284815,0.00486625,94.04613399505615
15800,1000.0,1.5855446,6.658157e-06,0.0,1.5888736,2.973859,0.10100043,1.5858111,0.009558678,0.0029738592,94.74631023406982
15900,1000.0,1.5860404,4.8562883e-06,0.0,1.5884686,1.532227,0.09877493,1.5867584,0.0101617575,0.001532227,95.4360773563385
16000,1000.0,1.5877467,4.3958858e-06,0.0,1.5899447,1.8466758,0.10088386,1.586861,0.010227084,0.0018466759,96.11607456207275
16100,1000.0,1.5867697,4.081675e-06,0.0,1.5888106,3.022491,0.09755244,1.5859889,0.009671807,0.003022491,96.82863211631775
16200,1000.0,1.58593,4.813941e-06,0.0,1.588337,1.3884082,0.10022443,1.5868707,0.010233164,0.001388408,97.54590725898743
16300,1000.0,1.5877299,6.4038846e-05,0.0,1.6197493,8.302259,0.093847714,1.5856129,0.009432435,0.008302259,98.26117038726807
16400,1000.0,1.5850627,4.4591075e-06,0.0,1.5872923,1.0173492,0.101225466,1.5861132,0.009750962,0.0010173491,98.96628594398499
16500,1000.0,1.5871035,2.7484305e-07,0.0,1.5872409,3.2202153,0.09891257,1.5860767,0.009727836,0.0032202152,99.68606805801392
16600,1000.0,1.5848413,4.1786065e-05,0.0,1.6057342,6.340983,0.10550655,1.5887176,0.011409044,0.006340983,100.57068419456482
16700,1000.0,1.5857383,1.6938036e-05,0.0,1.5942073,0.875287,0.10139176,1.5866972,0.010122776,0.000875287,101.40392398834229
16800,1000.0,1.5858008,1.51205395e-05,0.0,1.593361,7.3658237,0.107150145,1.5871943,0.010439277,0.0073658237,102.20622611045837
16900,1000.0,1.5864879,6.977305e-06,0.0,1.5899765,3.1512363,0.09979825,1.5850897,0.009099364,0.003151236,102.90608024597168
17000,1000.0,1.5845379,2.8899662e-05,0.0,1.5989877,1.610699,0.10327334,1.5869542,0.01028645,0.001610699,103.6360924243927
17100,1000.0,1.5849063,1.1283523e-05,0.0,1.5905482,0.5685172,0.102703236,1.5866208,0.010074139,0.0005685172,104.33610391616821
17200,1000.0,1.5850232,3.409989e-06,0.0,1.5867282,0.76729316,0.1021401,1.5861311,0.009762406,0.00076729315,104.99612593650818
17300,1000.0,1.5858085,1.4029254e-06,0.0,1.58651,1.9262434,0.102162875,1.5847191,0.008863449,0.0019262434,105.6861343383789
17400,1000.0,1.5863736,4.3002623e-05,0.0,1.6078749,3.0121858,0.10190866,1.5853814,0.009285092,0.0030121857,106.43614482879639
17500,1000.0,1.5864955,8.115771e-06,0.0,1.5905534,1.272743,0.10289945,1.5878487,0.010855794,0.001272743,107.1561107635498
17600,1000.0,1.585532,1.6504086e-06,0.0,1.5863571,1.8840108,0.10440558,1.5850172,0.00905323,0.0018840106,107.94864773750305
17700,1000.0,1.5847468,4.300605e-06,0.0,1.5868971,3.8594847,0.10543247,1.5852102,0.009176135,0.0038594846,108.67419934272766
17800,1000.0,1.5871555,8.483714e-06,0.0,1.5913973,2.0884159,0.104545265,1.586918,0.010263324,0.002088416,109.54014754295349
17900,1000.0,1.5855225,6.4227916e-06,0.0,1.5887339,3.7317555,0.10628241,1.5864848,0.009987593,0.0037317555,110.22316837310791
