iteration,beta,loss_a,loss_b,loss,L2-error,objective,objective-error,constraint-error,runtime
16800,10001,0.14702244,1.70E-06,0.15550958,0.048851877,14.704725,0.019490719,0.00105751,51.41005969
16900,10001,0.14703223,1.39E-06,0.15399294,0.048304312,14.702788,0.01935637,0.000841944,51.71500826
17000,10001,0.14697161,5.43E-06,0.17410079,0.049881723,14.708506,0.01975274,0.002401662,52.02010608
17100,10001,0.14703298,1.13E-06,0.15266576,0.04825585,14.702652,0.019346952,0.000931508,52.30995607
17200,10001,0.14705257,1.67E-06,0.1554281,0.048226293,14.702585,0.019342303,0.000925735,52.61995745
17300,10001,0.14703998,2.40E-06,0.1590497,0.048677064,14.704742,0.019491911,0.000872565,52.90213251
17400,10001,0.14703283,1.47E-06,0.15440176,0.048881773,14.705299,0.019530535,0.001170426,53.19993258
17500,10001,0.14707741,3.45E-06,0.1643396,0.047539383,14.700235,0.019179463,0.001476645,53.48008752
17600,10001,0.1470386,1.79E-06,0.15598196,0.04910225,14.706699,0.019627571,0.001212981,53.80743074
17700,10001,0.14705454,1.41E-06,0.15408084,0.04850277,14.704155,0.019451141,0.000833145,54.07995939
17800,10001,0.14705639,1.13E-06,0.1527019,0.048566986,14.7044735,0.019473195,0.000937364,54.3811326
17900,10001,0.14706717,1.47E-06,0.15444107,0.049051505,14.7066765,0.019626021,0.001041684,54.69976997
18000,10001,0.14704919,1.38E-06,0.15396738,0.04908457,14.706914,0.019642472,0.001211334,54.98981977
18100,10001,0.14703274,1.18E-06,0.15293948,0.04824119,14.7033415,0.019394755,0.000845509,55.30312037
18200,10001,0.14705041,1.36E-06,0.15383087,0.048524473,14.704554,0.019478798,0.001000068,55.57998109
18300,10001,0.14704858,1.55E-06,0.15479745,0.04860043,14.705536,0.019546866,0.001063261,55.90011144
18400,10001,0.14704601,1.29E-06,0.15350644,0.04842703,14.704758,0.019492984,0.000731745,56.16996074
18500,10001,0.14707594,2.15E-06,0.1578346,0.04790826,14.702842,0.019360065,0.000860816,56.51407862
18600,10001,0.14706883,1.66E-06,0.15537386,0.047614366,14.701657,0.01927805,0.001212082,56.78995299
18700,10001,0.14703184,2.27E-06,0.1583752,0.048702102,14.70586,0.019569397,0.001086888,57.11994624
18800,10001,0.14703336,1.34E-06,0.15373476,0.048434537,14.705146,0.019519806,0.000972899,57.40993619
18900,10001,0.14705396,2.87E-06,0.16142839,0.048677765,14.705793,0.019564748,0.00132226,57.72196198
19000,10001,0.14704584,1.24E-06,0.15324149,0.048232343,14.7044735,0.019473195,0.000918296,58.02396154
19100,10001,0.14703102,1.17E-06,0.15287764,0.048222445,14.7042675,0.01945901,0.000882008,58.3099823
19200,10001,0.14704004,1.13E-06,0.1526704,0.04789175,14.703171,0.019382954,0.000967153,58.65495372
19300,10001,0.14699453,4.20E-06,0.16800351,0.048783764,14.706865,0.019639015,0.001218269,58.93987322
19400,10001,0.14703813,1.11E-06,0.15259515,0.048083887,14.703957,0.019437432,0.000784326,59.28125238
19500,10001,0.14705786,1.22E-06,0.15315557,0.047810093,14.703216,0.019386053,0.000958037,59.56992364
19600,10001,0.14704356,1.13E-06,0.15270449,0.04832246,14.705263,0.019528031,0.000996282,59.92529035
19700,10001,0.14703521,1.03E-06,0.15218526,0.048062406,14.704136,0.01944983,0.00092117,60.29306197
19800,10001,0.14703521,1.18E-06,0.15293191,0.048156135,14.70472,0.019490361,0.000997383,60.59509182
19900,10001,0.14707762,2.92E-06,0.16167411,0.047201347,14.701075,0.019237638,0.001333856,60.87998629
20000,10001,0.14703618,1.09E-06,0.15248023,0.048030656,14.704298,0.019461036,0.000900188,61.17999005
20100,10001,0.14695366,1.44E-05,0.2187357,0.050854318,14.714998,0.020202875,0.004433804,61.49144363
20200,10001,0.14705133,1.10E-06,0.15255944,0.048002403,14.704297,0.019461036,0.001001591,61.79254508
20300,10001,0.14703593,1.51E-06,0.15456977,0.048596125,14.706601,0.019620776,0.001568028,62.14126587
20400,10001,0.14704527,1.25E-06,0.1532858,0.04831,14.705571,0.01954937,0.001027903,62.48993421
20500,10001,0.14703354,1.31E-06,0.15357861,0.04824051,14.705509,0.019545078,0.001073996,62.83246469
20600,10001,0.14704056,9.88E-07,0.15198024,0.048124973,14.705005,0.01951003,0.001008906,63.14001894
20700,10001,0.1470538,1.07E-06,0.15239553,0.04775736,14.703658,0.01941669,0.000871225,63.48974252
20800,10001,0.14706525,1.30E-06,0.15354468,0.04759291,14.702948,0.019367456,0.001212822,63.82013655
20900,10001,0.14707105,1.77E-06,0.15592875,0.047436345,14.702437,0.019332051,0.001025262,64.14002085
21000,10001,0.14703445,1.13E-06,0.15269111,0.04803921,14.705043,0.019512773,0.000895749,64.42969084
21100,10001,0.14704868,1.18E-06,0.15296835,0.047794577,14.704132,0.019449592,0.001038136,64.75991964
21200,10001,0.1470448,8.85E-07,0.15146787,0.047811486,14.704357,0.019465208,0.00076428,65.06005836
21300,10001,0.14702797,1.06E-06,0.15232275,0.0479247,14.70471,0.019489646,0.000819871,65.3998456
21400,10001,0.14702736,1.51E-06,0.15458648,0.0482314,14.706148,0.019589305,0.001108369,65.76699519
21500,10001,0.14703852,1.04E-06,0.1522306,0.047713593,14.7042465,0.01945746,0.000701557,66.12972164
21600,10001,0.14704055,9.68E-07,0.15187854,0.047495417,14.70323,0.019387007,0.000836897,66.44001245
21700,10001,0.14704144,8.51E-07,0.15129526,0.04762628,14.703704,0.019419909,0.000720643,66.77975106
21800,10001,0.14704666,1.06E-06,0.15233228,0.04753098,14.703485,0.01940465,0.000793167,67.08998418
21900,10001,0.14703801,1.01E-06,0.15209995,0.047694623,14.70393,0.019435525,0.000789286,67.42992091
22000,10001,0.14706239,1.40E-06,0.1540669,0.04729188,14.702664,0.019347787,0.000858881,67.72995186
22100,10001,0.14703447,1.19E-06,0.15298666,0.04769802,14.703974,0.019438624,0.000825326,68.08997226
22200,10001,0.14704093,9.63E-07,0.15185793,0.047611732,14.703875,0.01943171,0.000784885,68.47992492
22300,10001,0.14703654,1.04E-06,0.15221873,0.047364216,14.7029705,0.019369006,0.000914103,68.80203605
22400,10001,0.14703417,9.91E-07,0.15199028,0.047357265,14.702938,0.019366741,0.000776663,69.17432594
22500,10001,0.1470359,9.39E-07,0.15172969,0.047285713,14.702711,0.019351006,0.00080691,69.58160543
22600,10001,0.14705086,1.35E-06,0.15378445,0.046982683,14.701572,0.019272089,0.000972595,69.90009856
22700,10001,0.14706108,1.88E-06,0.15644953,0.046912484,14.701256,0.019250154,0.000934112,70.29991961
22800,10001,0.14702527,1.05E-06,0.152289,0.047713388,14.704514,0.019476056,0.001019808,70.61741924
22900,10001,0.14700715,2.24E-06,0.15819478,0.047815513,14.705063,0.019514084,0.001086806,70.95996141
23000,10001,0.14705032,1.09E-06,0.15248075,0.04718552,14.7026615,0.019347668,0.000798864,71.28994226
23100,10001,0.14703499,9.01E-07,0.15154275,0.0474544,14.70371,0.019420266,0.000760185,71.6514554
23200,10001,0.14702548,8.69E-07,0.1513704,0.04741345,14.703424,0.019400477,0.000778889,71.96009254
23300,10001,0.14703396,1.09E-06,0.15247896,0.04759868,14.70457,0.01947987,0.000955015,72.30971718
23400,10001,0.14701377,1.02E-06,0.152116,0.047178105,14.702532,0.019338608,0.000860894,72.65399003
23500,10001,0.14704612,1.11E-06,0.15257205,0.047035843,14.702162,0.019312978,0.000853429,72.96992922
23600,10001,0.14701277,9.18E-07,0.15160403,0.047154948,14.702408,0.019330025,0.000773792,73.2896843
23700,10001,0.14700945,1.09E-06,0.15247065,0.04722913,14.702994,0.019370675,0.000864843,73.65707779
23800,10001,0.14703093,9.37E-07,0.15171857,0.046720535,14.701052,0.019235969,0.000879738,73.97373343
23900,10001,0.1470223,9.32E-07,0.15168193,0.046679456,14.700931,0.019227624,0.000880305,74.32501197
24000,10001,0.14700234,1.02E-06,0.15208808,0.047043245,14.7023735,0.01932764,0.00101369,74.63002157
24100,10001,0.14702371,9.22E-07,0.15163277,0.046944097,14.701909,0.019295454,0.000750532,74.99471641
24200,10001,0.14702031,7.91E-07,0.15097429,0.04686079,14.701735,0.019283295,0.000842066,75.31180453
24300,10001,0.14702544,8.72E-07,0.15138695,0.0469695,14.702087,0.019307852,0.000761617,75.66973829
24400,10001,0.14702082,8.92E-07,0.15148106,0.047110125,14.702846,0.019360423,0.000810097,75.97501254
24500,10001,0.14702456,8.48E-07,0.15126367,0.046589796,14.700589,0.019203901,0.000944464,76.28356528
24600,10001,0.14700377,1.05E-06,0.1522778,0.04703854,14.702428,0.019331455,0.000888957,76.58003736
24700,10001,0.14701672,8.38E-07,0.15120487,0.046710566,14.701084,0.019238234,0.000726462,76.94005919
24800,10001,0.14700735,6.54E-07,0.15027715,0.04666649,14.700649,0.019208074,0.000736688,77.24984765
24900,10001,0.14702243,9.16E-07,0.15160449,0.046511978,14.700228,0.019178867,0.000865061,77.63014102
25000,10001,0.1470203,9.55E-07,0.1517962,0.046500213,14.700269,0.019181728,0.00079646,77.93999243
25100,10001,0.14703001,1.38E-06,0.15395232,0.046215117,14.699001,0.019093871,0.001035636,78.33168983
25200,10001,0.1470343,1.63E-06,0.15520112,0.046296366,14.6995,0.019128442,0.001013006,78.63996768
25300,10001,0.14700334,9.02E-07,0.1515158,0.046859987,14.701884,0.019293785,0.00075082,78.99976969
25400,10001,0.1470096,6.93E-07,0.15047307,0.0466793,14.701132,0.019241571,0.000646854,79.31009388
